AccentCity,Population,Latitude,Longitude
Bexbach,19372.0,49.333333,7.266667
Biberach,32501.0,48.1,9.8
Biblis,8824.0,49.691666999999995,8.458611
Biedenkopf,13736.0,50.916667,8.533333
Bielefeld,327198.0,52.033333,8.533333
Bietigheim-Bissingen,41979.0,48.966667,9.133333
Billerbeck,11578.0,51.966667,7.3
Bingen,24844.0,49.966667,7.9
Birkenau,10406.0,49.5625,8.706944
Birkenfeld,10444.0,48.866667,8.633333
Bischofsheim,12114.0,49.993889,8.367222
Bischofswerda,13577.0,51.116667,14.183333
Bissendorf,14431.0,52.233333,8.166667
Bitburg,13154.0,49.966667,6.533333
Bitterfeld,15486.0,51.616667,12.316667
Blankenburg,15887.0,51.783333,10.95
Blaubeuren,11900.0,48.4,9.783333
Blieskastel,22938.0,49.233333,7.25
Blomberg,17295.0,51.933333000000005,9.083333
Blumberg,10666.0,47.833333,8.533333
Bobenheim-Roxheim,10129.0,49.5875,8.357778
Bobingen,16595.0,48.266667,10.833333
Bocholt,73872.0,51.833333,6.6
Bochum,387061.0,51.483333,7.216667
Bockenem,11328.0,52.016667,10.133333
Bogen,10458.0,48.916667,12.683333
Bohmte,13432.0,52.366667,8.316667
Boizenburg,10634.0,53.38333299999999,10.716667
Bonn,314081.0,50.733333,7.1
Bopfingen,12669.0,48.85,10.35
Boppard,16606.0,50.233333,7.6
Borgentreich,9813.0,51.566666999999995,9.25
Borken,13656.0,51.05,9.283333
Borken,41179.0,51.85,6.866667
Borna,18504.0,51.116667,12.5
Bornheim,49126.0,50.766667,7.0
Bottrop,120829.0,51.516667,6.9166669999999995
Bovenden,13376.0,51.583333,9.933333
Brackenheim,15031.0,49.079722,9.065
Brake,16199.0,53.333332999999996,8.483333
Brakel,17782.0,51.716667,9.183333
Bramsche,28773.0,52.4,7.983333
Brandenburg,75507.0,52.416667,12.55
Brand-Erbisdorf,12098.0,50.866667,13.333332999999998
Braunfels,11398.0,50.516667,8.4
Breisach,14083.0,48.032790999999996,7.582936999999999
Bremen,546429.0,53.083332999999996,8.8
Bremerhaven,119688.0,53.55,8.583333
